Codice,Titolo,Tipo,Sorgente (Drupal),Destinazione (Django)
tv00007,"TG UNOMATTINA – “CRISTO DEGLI ABISSI”, LE OPERAZIONI DEI SOMMOZZATORI DEI VIGILI DEL FUOCO SUI FONDALI DI CAMOGLI",IMMAGINE,/sites/default/files/tv-interviste/2025-08-26/immagini/foto-2025-08-26-125129_1-1-1-crea-visti-tv.jpg,/media/visti_in_tv/tv00007/foto-2025-08-26-125129_1-1-1-crea-visti-tv.jpg
tv00007,"TG UNOMATTINA – “CRISTO DEGLI ABISSI”, LE OPERAZIONI DEI SOMMOZZATORI DEI VIGILI DEL FUOCO SUI FONDALI DI CAMOGLI",VIDEO,/sites/default/files/tv-interviste/2025-08-26/Video/servizio-tg1.mp4,/media/visti_in_tv/tv00007/servizio-tg1.mp4
tv00008,"RAI3 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",PAGINA,/visti-in-tv/rai3-esplosione-distributore-carburante-roma-zona-casilino,/visti-in-tv/rai3-esplosione-distributore-carburante-roma-zona-casilino/
tv00008,"RAI3 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",IMMAGINE,/sites/default/files/tv-interviste/2025-07-06/immagini/intervista_boscaino-crea-visti-tv.jpeg,/media/visti_in_tv/tv00008/intervista_boscaino-crea-visti-tv.jpeg
tv00008,"RAI3 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",VIDEO,/sites/default/files/tv-interviste/2025-07-06/Video/intervista-_boscaino_tg3.mp4,/media/visti_in_tv/tv00008/intervista-_boscaino_tg3.mp4
tv00009,"RAI 2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",PAGINA,/visti-in-tv/rai-2-esplosione-distributore-carburante-roma-zona-casilino,/visti-in-tv/rai-2-esplosione-distributore-carburante-roma-zona-casilino/
tv00009,"RAI 2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",IMMAGINE,/sites/default/files/tv-interviste/2025-07-06/immagini/intervista_de_masi-crea-visti-tv.jpeg,/media/visti_in_tv/tv00009/intervista_de_masi-crea-visti-tv.jpeg
tv00009,"RAI 2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",VIDEO,/sites/default/files/tv-interviste/2025-07-06/Video/intervista_de_masi_tg2.mp4,/media/visti_in_tv/tv00009/intervista_de_masi_tg2.mp4
tv00010,"RAI2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",PAGINA,/visti-in-tv/rai2-esplosione-distributore-carburante-roma-zona-casilino,/visti-in-tv/rai2-esplosione-distributore-carburante-roma-zona-casilino/
tv00010,"RAI2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",IMMAGINE,/sites/default/files/tv-interviste/2025-07-06/immagini/intervista_boscaino_tg2-crea-visti-tv.jpeg,/media/visti_in_tv/tv00010/intervista_boscaino_tg2-crea-visti-tv.jpeg
tv00010,"RAI2 - ESPLOSIONE DISTRIBUTORE CARBURANTE ROMA, ZONA CASILINO",VIDEO,/sites/default/files/tv-interviste/2025-07-06/Video/intervista_boscaino_tg2.mp4,/media/visti_in_tv/tv00010/intervista_boscaino_tg2.mp4
tv00011,"TG UNO - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, SORVOLO ELICOTTERO VIGILI DEL FUOCO",PAGINA,/visti-in-tv/tg-uno-esplosione-distributore-carburante-roma-sorvolo-elicottero-vigili-del-fuoco,/visti-in-tv/tg-uno-esplosione-distributore-carburante-a-roma-sorvolo-elicottero-vigili-del-fuoco/
tv00011,"TG UNO - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, SORVOLO ELICOTTERO VIGILI DEL FUOCO",IMMAGINE,/sites/default/files/tv-interviste/2025-07-05/immagini/tg1_intervista_cristini-crea-visti-tv.jpeg,/media/visti_in_tv/tv00011/tg1_intervista_cristini-crea-visti-tv.jpeg
tv00011,"TG UNO - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, SORVOLO ELICOTTERO VIGILI DEL FUOCO",VIDEO,/sites/default/files/tv-interviste/2025-07-05/Video/tg1-delle-20_elicottero.mp4,/media/visti_in_tv/tv00011/tg1-delle-20_elicottero.mp4
tv00012,"RAINEWS24 - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, ZONA CASILINO",PAGINA,/visti-in-tv/rainews24-esplosione-distributore-carburante-roma-zona-casilino,/visti-in-tv/rainews24-esplosione-distributore-carburante-a-roma-zona-casilino/
tv00012,"RAINEWS24 - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, ZONA CASILINO",IMMAGINE,/sites/default/files/tv-interviste/2025-07-04/immagini/intervista_mannino-crea-visti-tv.jpg,/media/visti_in_tv/tv00012/intervista_mannino-crea-visti-tv.jpg
tv00012,"RAINEWS24 - ESPLOSIONE DISTRIBUTORE CARBURANTE A ROMA, ZONA CASILINO",VIDEO,/sites/default/files/tv-interviste/2025-07-04/Video/intervista_mannino.mp4,/media/visti_in_tv/tv00012/intervista_mannino.mp4
tv00013,INCENDI BOSCHIVI IN ITALIA,PAGINA,/visti-in-tv/incendi-boschivi-italia,/visti-in-tv/incendi-boschivi-in-italia/
tv00013,INCENDI BOSCHIVI IN ITALIA,IMMAGINE,/sites/default/files/tv-interviste/2025-07-03/immagini/tg1-crea-visti-tv.jpg,/media/visti_in_tv/tv00013/tg1-crea-visti-tv.jpg
tv00013,INCENDI BOSCHIVI IN ITALIA,VIDEO,/sites/default/files/tv-interviste/2025-07-03/Video/tg1.mp4,/media/visti_in_tv/tv00013/tg1.mp4
tv00014,NOOS – L’AVVENTURA DELLA CONOSCENZA,PAGINA,/visti-in-tv/noos-l-avventura-della-conoscenza,/visti-in-tv/noos-lavventura-della-conoscenza/
tv00014,NOOS – L’AVVENTURA DELLA CONOSCENZA,IMMAGINE,/sites/default/files/tv-interviste/2025-06-24/immagini/screenshot-2025-06-24-alle-15-01-23-crea-visti-tv.jpg,/media/visti_in_tv/tv00014/screenshot-2025-06-24-alle-15-01-23-crea-visti-tv.jpg
tv00014,NOOS – L’AVVENTURA DELLA CONOSCENZA,VIDEO,/sites/default/files/tv-interviste/2025-06-26/Video/noos-vvf.mp4,/media/visti_in_tv/tv00014/noos-vvf.mp4
tv00015,RAI1 - SERVIZIO FESTA DELLA REPUBBLICA,PAGINA,/visti-in-tv/rai1-servizio-festa-della-repubblica,/visti-in-tv/rai1-servizio-festa-della-repubblica/
tv00015,RAI1 - SERVIZIO FESTA DELLA REPUBBLICA,IMMAGINE,/sites/default/files/tv-interviste/2025-06-04/immagini/visti_in_tv-crea-visti-tv.jpg,/media/visti_in_tv/tv00015/visti_in_tv-crea-visti-tv.jpg
tv00015,RAI1 - SERVIZIO FESTA DELLA REPUBBLICA,VIDEO,/sites/default/files/tv-interviste/2025-06-04/Video/visti_in_tv_2_giugno.mp4,/media/visti_in_tv/tv00015/visti_in_tv_2_giugno.mp4
